absolute_path,relative_path,short_description,primary_purpose,benefits_notes,detected_dependencies,inclusion_reason
d:\CamboAI\camboai\camboai\backend\app\api\websocket.py,camboai\camboai\backend\app\api\websocket.py,No module docstring or top comment,,Exposes HTTP endpoints,"asyncio,datetime,fastapi,json,logging,typing,yfinance",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\core\logging.py,camboai\camboai\backend\app\core\logging.py,No module docstring or top comment,,Implementation detail / helper module,"json,loguru,sys,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\core\metrics.py,camboai\camboai\backend\app\core\metrics.py,No module docstring or top comment,,Implementation detail / helper module,"prometheus_client,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\database.py,camboai\camboai\backend\app\database.py,No module docstring or top comment,,Defines DB models and session helpers,"datetime,os,sqlalchemy,uuid",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\database_simple.py,camboai\camboai\backend\app\database_simple.py,No module docstring or top comment,,Defines DB models and session helpers,"datetime,os,sqlalchemy,uuid",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\main.py,camboai\camboai\backend\app\main.py,No module docstring or top comment,,Application entrypoint / app wiring,"app,asyncio,datetime,fastapi,os,prometheus_fastapi_instrumentator,time",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\main_simple.py,camboai\camboai\backend\app\main_simple.py,No module docstring or top comment,,Application entrypoint / app wiring,"datetime,fastapi",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\models\learning.py,camboai\camboai\backend\app\models\learning.py,No module docstring or top comment,,Implementation detail / helper module,"__future__,app,datetime,sqlalchemy,uuid",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\models\memory.py,camboai\camboai\backend\app\models\memory.py,No module docstring or top comment,,Implementation detail / helper module,"__future__,app,datetime,sqlalchemy,uuid",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\models\social.py,camboai\camboai\backend\app\models\social.py,No module docstring or top comment,,Implementation detail / helper module,"__future__,app,datetime,sqlalchemy,uuid",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\security\middleware.py,camboai\camboai\backend\app\security\middleware.py,No module docstring or top comment,,Implementation detail / helper module,"fastapi,logging,security_service,time,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\security\security_service.py,camboai\camboai\backend\app\security\security_service.py,No module docstring or top comment,,Contains business logic or background tasks,"asyncio,datetime,fastapi,hashlib,logging,pydantic,re,secrets,string,time,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\broker_service.py,camboai\camboai\backend\app\services\broker_service.py,No module docstring or top comment,,Contains business logic or background tasks,"alpaca_trade_api,datetime,logging,pydantic,typing,yfinance",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\cache_service.py,camboai\camboai\backend\app\services\cache_service.py,No module docstring or top comment,,Contains business logic or background tasks,"asyncio,datetime,functools,hashlib,json,logging,pickle,redis,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\chart_patterns.py,camboai\camboai\backend\app\services\chart_patterns.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,dataclasses,numpy,pandas,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\database_service.py,camboai\camboai\backend\app\services\database_service.py,No module docstring or top comment,,Defines DB models and session helpers | Contains business logic or background tasks,"app,datetime,hashlib,sqlalchemy,typing,uuid",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\feeds.py,camboai\camboai\backend\app\services\feeds.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,datetime,html,requests,typing,xml",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\keys.py,camboai\camboai\backend\app\services\keys.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,json,os,pathlib,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\llm_provider.py,camboai\camboai\backend\app\services\llm_provider.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,os,requests,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\memory_service.py,camboai\camboai\backend\app\services\memory_service.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,app,datetime,sqlalchemy,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\news_sentiment.py,camboai\camboai\backend\app\services\news_sentiment.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,bs4,datetime,feeds,html,re,requests,time,typing,xml",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\pattern_catalog.py,camboai\camboai\backend\app\services\pattern_catalog.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\patterns.py,camboai\camboai\backend\app\services\patterns.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,dataclasses,datetime,numpy,pandas,talib,typing,yfinance",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\pii_moderator.py,camboai\camboai\backend\app\services\pii_moderator.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,re,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\progress_service.py,camboai\camboai\backend\app\services\progress_service.py,"ERROR_READING:f-string expression part cannot include a backslash (<unknown>, line 14)","ERROR_READING:f-string expression part cannot include a backslash (<unknown>, line 14)",Contains business logic or background tasks,,canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\redis_service.py,camboai\camboai\backend\app\services\redis_service.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,os,redis,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\risk_service.py,camboai\camboai\backend\app\services\risk_service.py,No module docstring or top comment,,Contains business logic or background tasks,"datetime,logging,numpy,pandas,scipy,typing,yfinance",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\scheduler.py,camboai\camboai\backend\app\services\scheduler.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,app,asyncio,datetime,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\app\services\spec_ingest.py,camboai\camboai\backend\app\services\spec_ingest.py,No module docstring or top comment,,Contains business logic or background tasks,"__future__,app,datetime,hashlib,os,typing",canonical-picked
d:\CamboAI\camboai\camboai\backend\simple_server.py,camboai\camboai\backend\simple_server.py,No module docstring or top comment,,Implementation detail / helper module,"app,datetime,fastapi,importlib,math,os,pydantic,random,typing,uvicorn",canonical-picked
d:\CamboAI\camboai\camboai\dashboard\app.py,camboai\camboai\dashboard\app.py,No module docstring or top comment,,Implementation detail / helper module,"os,requests,streamlit",canonical-picked
d:\CamboAI\camboai\camboai\dashboard\components\chart.py,camboai\camboai\dashboard\components\chart.py,No module docstring or top comment,,Implementation detail / helper module,,canonical-picked
d:\CamboAI\camboai\camboai\dashboard\components\indicators.py,camboai\camboai\dashboard\components\indicators.py,No module docstring or top comment,,Implementation detail / helper module,,canonical-picked
d:\CamboAI\camboai\camboai\dashboard\utils\api.py,camboai\camboai\dashboard\utils\api.py,No module docstring or top comment,,Exposes HTTP endpoints,,canonical-picked
d:\CamboAI\camboai\camboai\test_imports.py,camboai\camboai\test_imports.py,No module docstring or top comment,,Implementation detail / helper module,"fastapi,uvicorn",excluded_tests
d:\CamboAI\camboai\camboai\test_server.py,camboai\camboai\test_server.py,Simple test to verify the backend server is working,Simple test to verify the backend server is working,Implementation detail / helper module,"fastapi,uvicorn",excluded_tests
d:\CamboAI\camboai\dashboard\app.py,camboai\dashboard\app.py,No module docstring or top comment,,Implementation detail / helper module,"os,requests,streamlit",canonical-picked
d:\CamboAI\camboai\dashboard\components\chart.py,camboai\dashboard\components\chart.py,No module docstring or top comment,,Implementation detail / helper module,,canonical-picked
d:\CamboAI\camboai\dashboard\components\indicators.py,camboai\dashboard\components\indicators.py,No module docstring or top comment,,Implementation detail / helper module,,canonical-picked
d:\CamboAI\camboai\dashboard\utils\api.py,camboai\dashboard\utils\api.py,No module docstring or top comment,,Exposes HTTP endpoints,,canonical-picked
d:\CamboAI\camboai\test_imports.py,camboai\test_imports.py,No module docstring or top comment,,Implementation detail / helper module,"fastapi,uvicorn",excluded_tests
d:\CamboAI\camboai\test_server.py,camboai\test_server.py,Simple test to verify the backend server is working,Simple test to verify the backend server is working,Implementation detail / helper module,"fastapi,uvicorn",excluded_tests
d:\CamboAI\dashboard\app.py,dashboard\app.py,No module docstring or top comment,,Implementation detail / helper module,"os,requests,streamlit",canonical-picked
d:\CamboAI\dashboard\components\chart.py,dashboard\components\chart.py,No module docstring or top comment,,Implementation detail / helper module,,canonical-picked
d:\CamboAI\dashboard\components\indicators.py,dashboard\components\indicators.py,No module docstring or top comment,,Implementation detail / helper module,,canonical-picked
d:\CamboAI\dashboard\utils\api.py,dashboard\utils\api.py,No module docstring or top comment,,Exposes HTTP endpoints,,canonical-picked
d:\CamboAI\scripts\generate_camboai_csv.py,scripts\generate_camboai_csv.py,No module docstring or top comment,,Implementation detail / helper module,"ast,collections,csv,os",canonical-picked
d:\CamboAI\test_imports.py,test_imports.py,No module docstring or top comment,,Implementation detail / helper module,"fastapi,uvicorn",excluded_tests
d:\CamboAI\test_server.py,test_server.py,Simple test to verify the backend server is working,Simple test to verify the backend server is working,Implementation detail / helper module,"fastapi,uvicorn",excluded_tests
